0	-1	213	2
1	1	4124	3
2	-1	5512	4
3	1	124	5
4	-1	412	6
5	1	124	6
6	-1	412	8
7	1	412	9
8	-1	124	10
9	1	124	11
10	-1	412	12
11	1	412	13
12	-1	124	13
13	1	5235	15
14	-1	124	16
15	1	26	17
16	-1	412	18
17	1	6262	20
18	-1	4124	20
19	1	632	21
20	-1	36	22
21	1	632	23
22	-1	236	24
23	1	62623	26
24	-1	263	26
25	1	236	27
26	-1	236	28
27	1	236	29
28	-1	236	30
29	1	236	31
30	-1	4124	32
31	1	5512	33
32	-1	124	34
33	1	412	35
34	-1	124	36
35	1	412	37
36	-1	412	38
37	1	124	39
38	-1	124	40
39	1	412	41
40	-1	412	42
41	1	124	43
42	-1	5235	44
43	1	124	45
44	-1	26	46
45	1	412	47
46	-1	6262	48
47	1	4124	49
48	-1	632	50
49	1	36	51
50	-1	632	52
51	1	4124	53
52	-1	5512	54
53	1	124	55
54	-1	412	56
55	1	124	57
56	-1	412	58
57	1	412	59
58	-1	124	60
59	1	124	61
60	-1	412	62
61	1	412	63
62	-1	124	64
63	1	5235	65
64	-1	124	66
65	1	26	67
66	-1	412	68
67	1	6262	69
68	-1	4124	70
69	1	632	71
70	-1	36	72
71	1	632	73
72	-1	236	74
73	1	62623	75
74	-1	263	76
75	1	236	77
76	-1	236	78
77	1	236	79
78	-1	236	80
79	1	236	81
80	-1	412	82
81	1	412	83
82	-1	124	84
83	1	124	85
84	-1	412	86
85	1	412	87
86	-1	124	88
87	1	5235	89
88	-1	124	90
89	1	26	91
90	-1	412	92
91	1	6262	93
92	-1	4124	94
93	1	632	95
94	-1	36	96
95	1	632	97
96	-1	4124	98
97	1	5512	99
98	-1	124	100
99	1	412	101
100	-1	124	102
101	1	412	103
102	-1	412	104
103	1	124	105
104	-1	124	106
105	1	412	107
106	-1	412	108
107	1	124	109
108	-1	5235	110
109	1	124	111
110	-1	26	112
111	1	412	113
112	-1	6262	114
113	1	4124	115
114	-1	632	116
115	1	36	117
116	-1	632	118
117	1	236	119
118	-1	62623	120
119	1	263	121
120	-1	236	122
121	1	236	123
122	-1	236	124
123	1	236	125
124	-1	236	126
125	1	412	127
126	-1	412	128
127	1	124	129
128	-1	124	130
129	1	412	132
130	-1	412	132
131	1	124	133
132	-1	5235	134
133	1	124	135
134	-1	26	136
135	1	412	137
136	-1	6262	138
137	1	4124	139
138	-1	632	140
139	1	36	141
140	-1	632	142
141	1	4124	143
142	-1	5512	144
143	1	124	145
144	-1	412	146
145	1	124	147
146	-1	412	148
147	1	412	149
148	-1	124	150
149	1	124	151
150	-1	-1369.222222	153
151	1	-1895.688889	153
152	-1	-2422.155556	154
153	1	-2948.622222	155
154	-1	-3475.088889	156
155	1	-4001.555556	157
156	-1	-4528.022222	158
157	1	-5054.488889	159
158	-1	-5580.955556	160
159	1	-6107.422222	161
160	-1	-6633.888889	162
161	1	-7160.355556	163
162	-1	-7686.822222	164
163	1	62623	165
164	-1	263	166
165	1	236	167
166	-1	236	168
167	1	236	169
168	-1	236	170
169	1	236	171
170	-1	6262	172
171	1	4124	173
172	-1	632	174
173	1	36	175
174	-1	632	176
175	1	236	177
176	-1	62623	178
177	1	40570.8	179
178	-1	48910.88571	180
179	1	57250.97143	181
180	-1	65591.05714	182
181	1	236	183
182	-1	236	184
183	1	3639.653846	184
184	-1	3324.571429	186
185	1	3009.489011	187
186	-1	2694.406593	188
187	1	2379.324176	189
188	-1	2064.241758	190
189	1	1749.159341	191
190	-1	1434.076923	192
191	1	1118.994505	193
192	-1	803.9120879	194
193	1	488.8296703	195
194	-1	173.7472527	196
195	1	236	197
196	-1	3639.653846	198
197	1	3324.571429	199
198	-1	3009.489011	200
